id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6950609,Rental unit in Florence · ★4.50 · 3 bedrooms · 5 beds · 4 baths,4156491,Apartments Florence,,Centro Storico,43.76275,11.24454,Entire home/apt,547,3,12,2023-09-16,0.12,97,0,3,048017LTN4034
6453845,Rental unit in Florence · ★4.97 · 1 bedroom · 1 bed · 1 bath,4152303,Patrizia E Gianni,,Centro Storico,43.77287,11.26067,Entire home/apt,123,2,491,2023-12-04,4.71,1,200,79,
6952320,Condo in Florence · ★4.36 · 1 bedroom · 2 beds · 1 bath,18557896,Niccolò,,Centro Storico,43.77797,11.2529,Entire home/apt,59,2,372,2023-11-27,3.65,3,0,59,048017LTN0103
6980770,Condo in Florence · ★4.68 · 2 bedrooms · 2 beds · 2 baths,488317,Diana,,Centro Storico,43.77546,11.25414,Entire home/apt,178,1,121,2023-11-26,1.21,40,98,21,048017LTN3311
6984990,Condo in Florence · ★4.74 · 2 bedrooms · 2 beds · 1 bath,488317,Diana,,Centro Storico,43.76894,11.26294,Entire home/apt,192,3,38,2023-10-01,0.40,40,286,8,048017LTN3201
6991202,Rental unit in Florence · ★5.0 · 1 bedroom · 1 bed · 1 bath,23517955,Giovanna,,Centro Storico,43.76401,11.24284,Entire home/apt,120,12,4,2018-01-25,0.04,1,357,0,
6456867,Rental unit in Florence · ★5.0 · 1 bedroom · 3 beds · 1 bath,2272750,Francesca,,Centro Storico,43.7771,11.25845,Entire home/apt,280,2,25,2023-04-10,0.27,5,364,1,
7004242,Rental unit in Florence · ★4.89 · 2 bedrooms · 4 beds · 1 bath,36656453,Teresita,,Centro Storico,43.77507,11.25261,Entire home/apt,106,2,256,2023-11-27,2.50,1,105,75,
6462806,Guesthouse in Florence · ★4.53 · 1 bedroom · 1 bed · 1 shared bath,1250315,Simone,,Centro Storico,43.78179,11.25616,Private room,41,2,77,2023-12-03,0.74,4,142,15,06090360485
7007644,Rental unit in Florence · ★4.93 · 1 bedroom · 1 bed · 1 bath,36733952,Stefano,,Campo di Marte,43.79075,11.2689,Private room,48,3,73,2023-10-02,0.73,1,326,6,
6463377,Rental unit in Florence · ★4.78 · 1 bedroom · 2 beds · 1 bath,33752514,Lido,,Centro Storico,43.77086,11.26614,Entire home/apt,90,4,82,2023-11-13,0.79,2,0,16,
6478015,Rental unit in Florence · ★4.66 · 2 bedrooms · 3 beds · 1.5 baths,33752514,Lido,,Centro Storico,43.77167,11.26406,Entire home/apt,90,5,73,2023-08-13,0.75,2,137,6,
6484230,Rental unit in Florence · 2 bedrooms · 5 beds · 1 bath,29864774,Anisia,,Centro Storico,43.75863,11.24209,Entire home/apt,,2,0,,,2,0,0,
7013113,Rental unit in Florence · 3 bedrooms · 4 beds · 1 bath,11816313,Leonardo,,Centro Storico,43.77762,11.25417,Entire home/apt,,3,1,2017-06-26,0.01,1,0,0,
6498956,Rental unit in Florence · ★4.90 · 1 bedroom · 1 bed · 1 bath,2262880,Alessandro,,Centro Storico,43.7754,11.25573,Entire home/apt,131,3,30,2023-08-30,0.30,1,318,10,
